iter	Passed	Remaining
0	0	79
1	1	76
2	2	71
3	2	70
4	3	70
5	4	69
6	5	76
7	6	77
8	7	78
9	8	78
10	9	76
11	10	75
12	11	73
13	11	72
14	12	70
15	13	68
16	13	67
17	14	65
18	14	63
19	15	62
20	16	60
21	16	59
22	17	58
23	17	56
24	18	55
25	18	53
26	19	52
27	20	52
28	20	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	24	46
35	25	45
36	25	44
37	26	42
38	26	41
39	27	41
40	27	40
41	28	39
42	28	38
43	29	37
44	29	36
45	30	35
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	52	9
85	53	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
