iter	Passed	Remaining
0	0	849
1	1	741
2	2	718
3	2	683
4	3	659
5	3	637
6	4	627
7	4	615
8	5	607
9	6	594
10	6	588
11	7	579
12	7	571
13	8	564
14	8	559
15	9	555
16	9	550
17	10	549
18	10	545
19	11	542
20	11	539
21	12	538
22	12	534
23	13	532
24	13	530
25	14	527
26	14	528
27	15	525
28	15	524
29	16	524
30	16	526
31	17	528
32	18	529
33	18	527
34	19	526
35	19	524
36	20	523
37	20	521
38	21	520
39	21	519
40	22	517
41	22	516
42	23	515
43	23	513
44	24	511
45	24	511
46	25	509
47	25	508
48	26	507
49	26	506
50	27	505
51	27	504
52	28	503
53	28	502
54	29	501
55	29	500
56	30	499
57	30	498
58	31	497
59	31	498
60	32	499
61	33	500
62	33	499
63	34	499
64	34	498
65	35	497
66	35	496
67	36	495
68	36	494
69	37	494
70	37	494
71	38	493
72	38	492
73	39	491
74	39	490
75	40	489
76	40	488
77	41	486
78	41	486
79	42	485
80	42	484
81	43	484
82	43	480
83	44	479
84	44	478
85	44	477
86	45	476
87	45	476
88	46	477
89	47	477
90	47	477
91	48	477
92	48	476
93	49	476
94	49	475
95	50	474
96	50	474
97	51	473
98	51	472
99	52	471
100	52	470
101	53	469
102	53	469
103	54	468
104	54	467
105	55	466
106	55	466
107	56	465
108	56	464
109	57	463
110	57	463
111	58	462
112	58	461
113	59	460
114	59	460
115	60	459
116	60	458
117	61	457
118	61	457
119	62	457
120	62	457
121	63	456
122	63	456
123	64	456
124	65	455
125	65	455
126	66	453
127	66	453
128	67	452
129	67	452
130	68	452
131	68	451
132	69	450
133	69	450
134	70	449
135	70	449
136	71	448
137	71	448
138	72	448
139	72	448
140	73	447
141	73	446
142	74	445
143	74	445
144	75	444
145	75	444
146	76	444
147	77	445
148	78	445
149	78	445
150	79	445
151	79	444
152	80	444
153	80	443
154	81	443
155	81	442
156	82	441
157	82	441
158	83	441
159	83	440
160	84	438
161	84	438
162	85	438
163	85	438
164	86	437
165	87	437
166	87	436
167	88	436
168	88	435
169	89	435
170	89	434
171	90	434
172	90	434
173	91	434
174	92	434
175	92	434
176	93	433
177	93	433
178	94	433
179	95	432
180	95	432
181	96	432
182	96	432
183	97	431
184	97	431
185	98	430
186	98	430
187	99	429
188	99	428
189	100	428
190	100	427
191	101	426
192	101	426
193	102	425
194	102	424
195	103	423
196	103	423
197	104	422
198	104	421
199	105	421
200	105	420
201	106	420
202	106	420
203	107	420
204	108	419
205	108	419
206	109	418
207	109	418
208	110	419
209	111	418
210	111	418
211	112	417
212	112	416
213	113	416
214	113	415
215	114	414
216	114	414
217	115	413
218	115	412
219	116	412
220	116	411
221	117	410
222	117	410
223	118	409
224	118	408
225	119	408
226	119	407
227	120	407
228	120	406
229	121	406
230	121	406
231	123	408
232	124	408
233	124	408
234	125	407
235	125	407
236	126	406
237	126	406
238	127	405
239	127	404
240	128	404
241	128	403
242	129	402
243	129	402
244	130	401
245	130	401
246	131	400
247	131	399
248	132	399
249	132	398
250	133	397
251	133	397
252	134	396
253	134	395
254	135	395
255	135	394
256	136	393
257	136	393
258	137	393
259	138	393
260	138	392
261	139	392
262	140	392
263	140	392
264	141	392
265	141	391
266	142	391
267	142	390
268	143	389
269	143	389
270	144	388
271	144	387
272	145	387
273	145	386
274	146	385
275	146	385
276	147	384
277	147	384
278	148	383
279	148	382
280	149	382
281	149	381
282	150	380
283	150	380
284	151	379
285	152	379
286	152	379
287	153	379
288	153	378
289	154	378
290	154	377
291	155	377
292	156	376
293	156	375
294	157	375
295	157	374
296	158	374
297	158	373
298	159	372
299	159	372
300	159	371
301	160	370
302	161	370
303	161	369
304	161	369
305	162	368
306	163	367
307	163	367
308	164	366
309	164	366
310	165	365
311	165	364
312	165	364
313	166	363
314	167	363
